player name,ppg,rbg,apg
lebron james,26,6.3,5.3
russell westbrook ,12,7.7,8.7
kent bazemore,7.7,1.7,0.3
anthony davis,25.7,11,2.3
malik monk,8.3,2,2
danny green,8.7,3.5,1.5
seth curry,14.3,2.6,2.6
tyrese maxey,16.6,3.7,4.1
tobias harris,20.4,7.2,3.7
joel embiid,30,10.7,3.2
kemba walker,16.4,3.6,4.3
rj barrett ,16.9,5.6,3
evan fouriner,17.4,3.5,3.3
julius randle,22.8,9.9,5.5
mitchell robinson,8.5,8.6,0.7
stephen curry ,32,5.7,5.5
joron poole,18.9,2.9,3.1
andrew wiggins,17.8,4.8,2.3
kevon looney,3.6,4.8,1.7
draymond green,7.4,7.4,8.9
shai gilgeous alexandar,22.1,4.5,5.7
darius bazley,13.2,7,1.8
jeremiah robinson-earl,7.4,4.5,1
luguentz dort,14.8,3.8,1.9
josh giddey,12.4,3.5,5.3
monte morris,10.9,2.2,3.9
will barton,13.4,4.2,3.4
aaron gordon,11.4,5.4,3
michael porter,19.8,7.5,1.3
nikola jokic,27,11.2,7.4
mike conley,15.8,3.3,6
donovan mitchell,28.1,4.5,5.3
bojan bogdanovic,18.7,4.2,1.9
royce o'neale,6.8,6.1,2.3
rudy gobert,14.8,13.9,1.2
dejounte murray,16.2,7.4,5.7
derrick white,16.7,3.6,4.2
doug mcdermott,15.8,3.6,1.6
keldon johnson,14.8,6.6,2
jakob poeltl,9.8,9,2.3
kevin porter jr,17.4,3.8,6.3
jalen green,13.3,3.8,2.7
jae'sean tate,11.8,5.8,2.7
christian wood,21.6,10.2,1.8
daniel theis,7.8,4.4,1.3
kristaps porzingis,19.3,8.5,1.7
tim hardaway jr,18.6,3.6,2
luka doncic,28,7.9,8.8
dwight powell,7.4,4.7,1.3
dorian finney-smith,8.8,5.2,1.7
trae young,14.7,9.3,2
bogdan bogdanovic,25,2.3,10
deandre hunter,8.7,11.7,0
 john collins,10,2.7,1.7
clint capela 14.7,8,2.7,2.7
jaylen brown,28.3,4.3,3
jayson tatum,27.5,8.3,0.5
marucs smart,7.5,4.5,2.5
dennis schroder,14.2,4.5,1
robert williams III,9.8,9,1.2
blake griffin ,4,5.7,0
kevin durant ,31,9.8,5.8
james harden,17.2,7,8.2
joe harris,10.2,4.8,1.2
bruce brown,7.3,3.7,0
kelly oubre,16.8,6,1.2
miles brides,25,8.5,2.2
mason plumlee,8,10,2.8
gordon hayward,17,3.8,5.2
lamelo ball,22.8,5.5,6.8
lzach lavine,25.5,5.2,4.8
 lonzo ball,14.2,2.8,5
demar rerozan,22.5,5.8,4.5
nikola vucevic,14.2,11.5,3.5
patrick williams,6.8,2.2,0.8
collin sexton,19,2.2,2.2
darius garland,11,2,9.5
lauri makkansen,11.8,6.5,2
jarrett allen,17,9.5,1.2
evan mobley,14.2,8.2,2.8
killian hayes,4.7,2.3,2.7
 isaiah stewart,10.3,9,1.7
kelly olynyk,13.7,5,2.7
josh jackson,9.7,4,2.7
saddiq bey ,18,10.7,2.7
myles turner,14.5,6.2,0.5
domantas sabonis,24.8,12.2,4.5
malcolm brogdon,24.8,7.5,7.5
chris durante,19.8,4.8,2
justin holiday ,8.8,4,1.8
eric bledsoe,13,4.7,5.3
reggie jackson,15.3,3.7,4
nicolas batium,3.5,5.5,1.5
paul george ,28.7,7,5
ivica zubac,10,6.3,3
ja morant ,35,3.7,8
steven adams,13,13,4.7
jaren jackson jr,15.3,6,0.7
de'anthony melton,18.3,4.7,2.7
desmond bane,19.3,4.7,3
pj tucker ,2.7,4.7,1.3
bam adebayo,17.7,14,2
kyle lowry,7,1.5,7
jimmy butler,25.3,4.3,4.7
duncan robinson,10.7,5.3,2.3
josh okogie,2.3,4,1.3
anthony edwards,25.3,8,3.7
karl-anthony towns,29,9.3,3.7
d'angelo russell,14.3,4,4
jaden mcdaniels,3.7,4,0.3
devonte graham,17.8,3.2,5
n alexander walker,17.2,7.8,1.8
jonas valanciunas,17.2,15,2.8
brandon ingram,27,7.5,4.8
herbert jones,2,2.8,1.5
franz wagner,13.2,4.2,2
mo bamba,13.5,8,1.8
cole anthony,15.2,8,5.8
wendell carter jr,10.8,9.2,1.8
jalen suggs,12.5,3.2,3.5
devin booker,18.3,4.3,4
deandre ayton,10.3,8,1.7
jae crowder,7.3,6,1
chris paul,14,3.7,11.7
mikal bridges,17,4,1.3
jusuf nurkic,11,12,2
robert covington,4.7,5.3,0.3
damian lillard,17,3.3,7.3
cj mccollum,27.3,4.3,3.3
normal powell,4.7,5.3,0.3
richaun holmes,14.3,10.7,1.7
de'aaron fox,18.7,4.3,6.7
harrison barnes,28.3,10.3,1.7
maurice harkless,7.5,2.5,0.5
tyrese haliburton,8.3,4,6.3
gary trent jr,14,3.5,0.8
precios achiuwa ,10.5,11.2,1.8
fred van vleet,14.5,4.5,8.8
 og anunoby,17.5,6.8,2.2
scottie barnes,16.8,8.5,1.2
spencer diniwddle ,19,5,7
kylekuzma,14.3,13,2.3
bradlety beal ,21,3,4
k caldwel- pope,7.7,2.3,1
daniel gafford,9.7,4,0.3
